transformer_id,kva_rating,allocated_kw,allocated_kva,utilization_factor
T1_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T2_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T3_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T4_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T5_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T6_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T7_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T8_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T9_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T10_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T11_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T12_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T13_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T14_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T15_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T16_75kVA,75.0,41.22302900521253,45.803365561347256,0.6107115408179634
T17_50kVA,50.0,27.482019336808357,30.535577040898172,0.6107115408179635
T18_25kVA,25.0,13.741009668404178,15.267788520449086,0.6107115408179635
