transformer_id,kva_rating,allocated_kw,allocated_kva,utilization_factor
T1_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T2_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T3_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T4_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T5_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T6_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T7_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T8_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T9_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T10_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T11_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T12_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T13_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T14_75kVA,75.0,53.55187496346167,59.502083292735186,0.7933611105698025
T15_50kVA,50.0,35.70124997564111,39.66805552849012,0.7933611105698024
