trial,cluster_index,cluster_size_houses,cluster_peak_kw,cluster_required_kva,chosen_transformer_kva
0,1,2,13.463970646099135,14.959967384554593,25.0
0,2,5,24.231139501931146,26.92348833547905,50.0
0,3,6,34.683365849967686,38.53707316663076,50.0
0,4,3,44.82056414116005,49.800626823511166,50.0
0,5,1,10.117320474424076,11.24146719380453,25.0
0,6,6,18.76011544595167,20.844572717724077,25.0
0,7,5,19.182637130265423,21.31404125585047,25.0
0,8,3,8.69514616205242,9.661273513391578,25.0
0,9,4,26.54416418110845,29.493515756787165,50.0
0,10,1,12.394033490466416,13.771148322740462,25.0
0,11,3,9.151083879950338,10.167870977722599,25.0
0,12,5,32.644191311130555,36.27132367903395,50.0
0,13,5,38.031577288079816,42.25730809786646,50.0
0,14,6,22.59655665421148,25.10728517134609,50.0
0,15,4,18.113366743311495,20.125963048123882,25.0
0,16,3,15.269387349204079,16.96598594356009,25.0
0,17,4,17.4456613972063,19.384068219118113,25.0
0,18,6,63.60104978828402,70.66783309809335,75.0
0,19,1,13.685345218546956,15.20593913171884,25.0
0,20,1,12.349351477294434,13.721501641438259,25.0
0,21,5,29.978538937199307,33.30948770799923,50.0
0,22,2,21.46892723274256,23.854363591936174,25.0
0,23,4,25.32499762078486,28.13888624531651,50.0
0,24,3,40.54327111967483,45.04807902186092,50.0
0,25,5,20.59804789703423,22.88671988559359,25.0
0,26,3,7.200597256797225,8.000663618663584,25.0
0,27,1,8.319029920961086,9.24336657884565,25.0
0,28,6,30.707013908012755,34.11890434223639,50.0
0,29,1,3.166848778340048,3.518720864822275,25.0
0,30,6,30.541698696929537,33.93522077436615,50.0
0,31,1,1.9700736277927198,2.1889706975474663,25.0
0,32,4,28.874069006789885,32.0822988964332,50.0
0,33,6,43.56493967004422,48.405488522271355,50.0
0,34,5,40.924504642407605,45.471671824897335,50.0
0,35,2,13.54567444746937,15.050749386077078,25.0
0,36,4,15.879780761942397,17.644200846602665,25.0
0,37,2,11.681834437213132,12.979816041347924,25.0
0,38,6,32.57317334301625,36.192414825573614,50.0
0,39,1,5.574464823432861,6.19384980381429,25.0
0,40,1,2.5323684670232014,2.8137427411368905,25.0
0,41,5,19.5585899437776,21.731766604197336,25.0
0,42,4,15.723052694096877,17.47005854899653,25.0
0,43,5,23.08944589784764,25.654939886497377,50.0
0,44,5,17.585680885524486,19.53964542836054,25.0
0,45,1,10.40128108827732,11.5569789869748,25.0
0,46,5,22.49395198836186,24.993279987068732,25.0
0,47,3,18.51083548426362,20.567594982515132,25.0
