trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
0,60,0.8,0.9,1,18,8,2,3,3,0,425.0,286.8349009919043
1,60,0.8,0.9,1,18,6,2,0,1,3,125.0,330.51492469409067
2,60,0.8,0.9,1,18,8,1,6,0,1,325.0,292.7573168094247
3,60,0.8,0.9,1,18,5,0,0,3,2,225.0,302.5406272050905
4,60,0.8,0.9,1,18,6,1,2,3,0,350.0,243.23017033598782
5,60,0.8,0.9,1,18,11,5,5,1,0,450.0,318.6371005693726
6,60,0.8,0.9,1,18,7,2,3,2,0,350.0,247.882822548052
7,60,0.8,0.9,1,18,9,3,3,3,0,450.0,303.09510214486204
8,60,0.8,0.9,1,18,6,0,3,3,0,375.0,262.4530222660815
9,60,0.8,0.9,1,18,8,3,2,2,1,325.0,287.9253583989007
10,60,0.8,0.9,1,18,6,2,2,1,1,225.0,224.42869646425265
11,60,0.8,0.9,1,18,6,2,1,2,1,250.0,261.34732014180776
12,60,0.8,0.9,1,18,6,2,1,2,1,250.0,243.1023952579413
13,60,0.8,0.9,1,18,9,5,2,2,0,375.0,262.53357129928395
14,60,0.8,0.9,1,18,9,3,3,1,2,300.0,329.08636588088217
