trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
0,303,0.8,0.9,1,6,84,50,31,3,0,3025.0,1819.714549758384
1,303,0.8,0.9,1,6,76,40,34,2,0,2850.0,1719.7054111560512
2,303,0.8,0.9,1,6,85,47,37,1,0,3100.0,1802.1204778411466
3,303,0.8,0.9,1,6,82,44,33,4,1,3050.0,1914.8313459000015
4,303,0.8,0.9,1,6,79,42,35,2,0,2950.0,1805.7523347349857
5,303,0.8,0.9,1,6,95,67,25,2,1,3075.0,1887.9017639118404
6,303,0.8,0.9,1,6,85,55,29,1,0,2900.0,1667.6022067476695
7,303,0.8,0.9,1,6,91,64,23,4,0,3050.0,1806.6545816674359
8,303,0.8,0.9,1,6,84,50,32,2,0,3000.0,1781.527598804956
9,303,0.8,0.9,1,6,89,59,26,4,0,3075.0,1838.1270211466224
10,303,0.8,0.9,1,6,88,49,32,7,0,3350.0,2013.52576291445
11,303,0.8,0.9,1,6,86,57,22,7,0,3050.0,1888.4587365375423
12,303,0.8,0.9,1,6,88,51,32,5,0,3250.0,1901.6669766745845
13,303,0.8,0.9,1,6,87,49,32,5,1,3200.0,1913.3634089340376
14,303,0.8,0.9,1,6,84,44,37,3,0,3175.0,1880.8734324943075
