Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Lighting Electric Power (kW),HVAC Heating Electric Power (kW),PV Electric Power (kW),Other Electric Power (kW),HVAC Cooling Electric Power (kW),Battery Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Battery SOC (-),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 00:00:00,-1.5587111731318037,0.1875985954010696,0.34101192117112705,0.016272647133540527,0.32761495395351037,0.0,0.23068701609031508,0.05000000000000001,-2.1832857903091694,0.323820186147099,0.017191735024028012,0.0,51.66588024198009,0.4440512502217151,20.65292252060892,0.0
2018-01-01 01:00:00,-0.5665751248794727,0.18694113132952217,0.3431820481333236,0.016272647133540527,0.3259275637077501,0.0,0.22981039732825184,0.05000000000000001,-1.1885857330490153,0.3221523409621005,0.021029707171223096,0.0,51.665706356323135,0.18358699012935423,20.649237475035758,0.0
2018-01-01 02:00:00,0.6130651305725348,0.18628366725797474,0.3199040655084732,0.016272647133540527,0.3178587048728056,0.0,0.2289337785661886,0.05000000000000001,0.0,0.3141769438125028,0.005727121695970409,0.0,51.6664051408549,0.15,20.6490937452691,0.0
2018-01-01 03:00:00,0.6070850304792977,0.18562620318642734,0.3148597243988589,0.016272647133540527,0.3127552235416318,0.0,0.22805715980412536,0.05000000000000001,0.0,0.30913257616470163,0.005727148234157265,0.0,51.666405139648695,0.15,20.648950015502443,0.0
2018-01-01 04:00:00,0.600471863647252,0.1849687391148799,0.3091896493700534,0.016272647133540527,0.30701867547164924,0.0,0.22718054104206212,0.05000000000000001,0.0,0.3034624745974602,0.005727174772593179,0.0,51.66640513843683,0.15,20.648806285735787,0.0
2018-01-01 05:00:00,0.5951450633776173,0.18901790966643892,0.3155771050024404,0.01726529907024658,0.29530032919656324,0.0,0.23257943511080748,0.05000000000000001,0.0,0.29187986206301225,0.02369724293942817,0.0,51.66558454471686,0.15,20.648652629253082,0.0
2018-01-01 06:00:00,0.8208833046878715,0.22225292254714824,0.27916343755797945,0.0502977687418674,0.2766453020854599,0.0,0.4439402338605442,0.05000000000000001,0.0,0.2734409163470182,0.005722521210961239,0.0,51.66640527657528,0.15,20.674027300536533,0.0
2018-01-01 07:00:00,1.107543568395941,0.28919596560382294,0.25424603883976565,0.10718101218487115,0.2514445918181911,-0.0013271084520228933,0.7002450728449011,0.05000000000000001,0.0,0.24853210619867536,0.005713932641090276,0.0,51.66640571066939,0.15,20.720532218487506,0.0
2018-01-01 08:00:00,0.933599528873351,0.2958483055568992,0.23275773627210894,0.11353579712837308,0.22970556353927807,-0.16875669124330328,0.7091148594490031,0.05000000000000001,0.0,0.22704488133612036,0.005712854935988568,0.0,51.66640578876379,0.15,20.726362079558715,0.0
2018-01-01 09:00:00,0.23696564549189372,0.2958483055568992,0.19803721687529652,0.11600783038726743,0.1945783011375575,-0.8327353454819342,0.7091148594490031,0.05000000000000001,0.0,0.19232449842167845,0.0057127184536180835,0.0,51.66640579780551,0.15,20.727100585313433,0.0
2018-01-01 10:00:00,-0.7081082500385455,0.29519084148535185,0.15885933544370137,0.11237557663088248,0.14719551287608515,-1.7259175802324531,0.7082382406869399,0.05000000000000001,0.0,0.1454905455454741,0.013368789898227271,0.0,51.66605653993932,0.15,20.72655207792418,0.0
2018-01-01 11:00:00,-1.4436291410793691,0.30087019758364236,0.13202948090706723,0.1074842305098553,0.11617595660845365,-2.28704536363642,0.5487632672425363,0.05000000000000001,0.02099276819620599,0.11483028915739046,0.017199191749676768,0.0,51.665881329526286,0.15,20.71357606181097,0.0
2018-01-01 12:00:00,-1.5054206566082897,0.3081800016082661,0.10664744753784479,0.10393767697072097,0.10211025901407515,-2.384201106577626,0.3914622243665771,0.05000000000000001,0.23127028961796295,0.10092751470117078,0.005719932836674013,0.0,51.66640511662138,0.16123319250301202,20.688112078829693,0.0
2018-01-01 13:00:00,-1.6160437877711746,0.3081800016082661,0.10090870431536986,0.10290930816087102,0.09630428315533816,-2.3388067516722066,0.3914622243665771,0.05000000000000001,0.08208714821824563,0.09518878952805625,0.0057199147873136175,0.0,51.66640546999522,0.17544455560686786,20.68812570073006,0.0
2018-01-01 14:00:00,-1.2816279361294927,0.30218512572673717,0.10303507485538073,0.10452437304441674,0.09070971410088101,-2.1423910335174754,0.3834690565245385,0.05000000000000001,0.23205995371814633,0.08965902243175883,0.013376052423621916,0.0,51.66605585758973,0.19363527403614156,20.687302590389507,0.0
2018-01-01 15:00:00,-0.972235004779054,0.31351741341824757,0.09343279949611115,0.11408951338157976,0.08874118759137338,-1.6236444791985596,0.39857877344655246,0.05000000000000001,0.0,0.08771329738761229,0.005719502108498856,0.0,51.66640548317565,0.20459508262548734,20.690362083571976,0.0
2018-01-01 16:00:00,-0.009828106160269487,0.3043414399584677,0.13160155948763377,0.11928849090899661,0.10408199606440115,-0.6526796577507411,0.3863441421668459,0.05000000000000001,-0.016863077549772048,0.10287641309840419,0.028725146389229562,0.0,51.66535567583284,0.20459508262548734,20.688835361459827,0.0
2018-01-01 17:00:00,0.3003829400437637,0.35345787764177633,0.14872619867999018,0.18755850946982341,0.12533734619847606,0.0,0.4518327257445908,0.05000000000000001,-0.5143456413691266,0.12388556226567517,0.024840636414315023,0.0,51.66588133330498,0.1843790162092005,20.7090570994355,0.0
