,Total Electric Energy (kWh),Total Gas Energy (therms),Average Electric Power (kW),Peak Electric Power (kW),HVAC Cooling Electric Energy (kWh),HVAC Heating Electric Energy (kWh),Water Heating Electric Energy (kWh),Other Electric Energy (kWh),Lighting Electric Energy (kWh),Average Temperature - Indoor (C),Unmet Heating Load (C-hours),Unmet Cooling Load (C-hours),Total Hot Water Unmet Demand (kWh),HVAC Heating Gas Energy (therms),Water Heating Gas Energy (therms)
bldg0112631/up11,463.4373362496719,0.0,2.7585555729147138,7.971876920365109,8.149999999999999,358.0255566171593,15.102652187026052,70.15103829173731,12.008089153749308,20.806930356000606,0.0,0.0,0.0,,
bldg0112631/up00,115.53113857628996,28.004151146763583,0.6876853486683926,3.3510270957498727,8.149999999999999,25.22201113080332,,70.15103829173731,12.008089153749308,20.88059250411029,0.0,0.0,0.0,24.92986428372837,3.074286863035211
