House,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Cooling Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),Lighting Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour)
bldg0112631/up00,115.53113857628993,43.06396575259921,28.00415114676358,8.15,25.222011130803313,0.0,70.15103829173731,12.008089153749298,0.0,51.63658783554809,20.880592504110286,0.0,24.929864283728367,3.074286863035203
bldg0112631/up11,463.43733624967194,278.110710740078,0.0,8.15,358.0255566171593,15.102652187026045,70.15103829173731,12.008089153749298,0.0,50.80780707793775,20.806930356000606,0.0,0.0,0.0
