Time,bldg0112631/up11,bldg0112631/up00
2018-01-01 00:00:00,7.665339538533417,0.6192347450127189
2018-01-01 01:00:00,7.971876920365115,0.6277084717954247
2018-01-01 02:00:00,6.479895926984335,0.6193733595813269
2018-01-01 03:00:00,6.183170864642225,0.6122948514046803
2018-01-01 04:00:00,6.011991398670764,0.6082403448803616
2018-01-01 05:00:00,5.744233695787771,0.6103067562772398
2018-01-01 06:00:00,5.594800054689241,0.94648573899408
2018-01-01 07:00:00,5.198548731891694,1.0768882971475455
2018-01-01 08:00:00,4.511935794482363,1.0697542316155824
2018-01-01 09:00:00,3.865660836294549,1.0478875290110634
2018-01-01 10:00:00,3.1164863121679502,0.992350129289242
2018-01-01 11:00:00,2.5121617002818075,0.9511752588886384
2018-01-01 12:00:00,1.863231608227214,0.6535914381838662
2018-01-01 13:00:00,1.717977439974456,0.6432163475569597
2018-01-01 14:00:00,1.7043509421355625,0.6362202587259507
2018-01-01 15:00:00,1.6327716666530512,0.6527664451731742
2018-01-01 16:00:00,1.7676509235655165,0.6640396920804481
2018-01-01 17:00:00,2.363178230960843,0.8104625933974763
2018-01-01 18:00:00,2.5853891959888915,0.6702446810750617
2018-01-01 19:00:00,3.1677593636339214,0.914697368949375
2018-01-01 20:00:00,3.3184293128096978,1.0146928333337488
2018-01-01 21:00:00,3.3409955318152367,0.9568906326267868
2018-01-01 22:00:00,3.1356086833267702,0.7252029881129425
2018-01-01 23:00:00,3.1835881347545074,0.6313946721055714
2018-01-02 00:00:00,3.129883722821673,0.516396270556174
2018-01-02 01:00:00,3.1495685578889283,0.5103208180296877
2018-01-02 02:00:00,3.18765094542608,0.5135484856965816
2018-01-02 03:00:00,3.134306068384729,0.5108141028644069
2018-01-02 04:00:00,3.345954710684897,0.5249689673282445
2018-01-02 05:00:00,3.225100497940973,0.5121895519303926
2018-01-02 06:00:00,3.624360028162026,0.6014205787027433
2018-01-02 07:00:00,3.5205899252038386,0.7061345212607096
2018-01-02 08:00:00,3.1107294719522263,0.6129120083874389
2018-01-02 09:00:00,2.8412004434428986,0.6004685514655925
2018-01-02 10:00:00,2.1591997828536638,0.4369445698913746
2018-01-02 11:00:00,1.4998175912891756,0.3963419327702528
2018-01-02 12:00:00,1.2147864914197766,0.3737077161842825
2018-01-02 13:00:00,1.0669919065669795,0.3620518912120563
2018-01-02 14:00:00,1.1044058453312953,0.4771371662177868
2018-01-02 15:00:00,0.9462915602676948,0.4070805591165104
2018-01-02 16:00:00,1.2315977553591584,0.5090064242891331
2018-01-02 17:00:00,1.514848416659868,0.5652189836152763
2018-01-02 18:00:00,1.9824862489812745,0.8232296916252673
2018-01-02 19:00:00,2.34307880110359,0.8252611997838626
2018-01-02 20:00:00,2.2704118065724272,0.5981992862406682
2018-01-02 21:00:00,2.417648760048821,0.5518441446053601
2018-01-02 22:00:00,2.220247817365373,0.441055147947814
2018-01-02 23:00:00,2.101743448773896,0.4319199625696039
2018-01-03 00:00:00,2.2021522937702884,0.4391041075940379
2018-01-03 01:00:00,2.287974179092509,0.4472267664087572
2018-01-03 02:00:00,2.328325091984213,0.4517362492095128
2018-01-03 03:00:00,2.4138736255841557,0.4694829564094278
2018-01-03 04:00:00,2.5233378872449324,0.4640954007661678
2018-01-03 05:00:00,2.7892852114267206,0.5111046043730019
2018-01-03 06:00:00,2.825788280714679,0.5508597646590959
2018-01-03 07:00:00,2.7990567785003213,0.6110358442736004
2018-01-03 08:00:00,2.6354872995554453,0.5578237190646537
2018-01-03 09:00:00,2.19679185800465,0.5539184852946475
2018-01-03 10:00:00,1.6898943119833956,0.4085117565030243
2018-01-03 11:00:00,1.4234477895668929,0.3852457356208668
2018-01-03 12:00:00,2.482821006297004,1.712379919895848
2018-01-03 13:00:00,2.2344972342812905,1.591797291423266
2018-01-03 14:00:00,1.162836604852958,0.5170759902701931
2018-01-03 15:00:00,1.3872162927785212,0.6355298144140417
2018-01-03 16:00:00,1.7387439307400725,0.7022692696880629
2018-01-03 17:00:00,2.319994438179906,0.8168612312201693
2018-01-03 18:00:00,3.081389965695476,1.17670509217986
2018-01-03 19:00:00,3.086564698041343,1.157404342348232
2018-01-03 20:00:00,3.6405537610727463,1.3507757883251814
2018-01-03 21:00:00,5.981979281108129,3.3510270957498727
2018-01-03 22:00:00,5.778319902634039,2.983089936579696
2018-01-03 23:00:00,6.052206405925456,2.834706682163963
2018-01-04 00:00:00,4.204748314376762,0.5477532658957663
2018-01-04 01:00:00,4.950955455153873,0.5738076142430582
2018-01-04 02:00:00,6.025555758053208,0.6106973242796374
2018-01-04 03:00:00,6.213825746191075,0.6176659063570111
2018-01-04 04:00:00,5.9189993776553065,0.608216466324783
2018-01-04 05:00:00,5.96225078134852,0.608107060449014
2018-01-04 06:00:00,5.991175215245912,0.6876799899007777
2018-01-04 07:00:00,5.635115803538926,0.7068499349951493
2018-01-04 08:00:00,5.091719561401868,0.7459430884864042
2018-01-04 09:00:00,4.17976471112441,0.7764120473289324
2018-01-04 10:00:00,3.90749236862188,1.4110858608604433
2018-01-04 11:00:00,2.630163288676439,0.5744876090370521
2018-01-04 12:00:00,2.5086873157365925,0.5684733418080589
2018-01-04 13:00:00,2.0219540481598988,0.5400544412583751
2018-01-04 14:00:00,1.7652425487126828,0.522787446749231
2018-01-04 15:00:00,1.5711176570976455,0.5194629750190772
2018-01-04 16:00:00,1.7809145266825184,0.5465597970735451
2018-01-04 17:00:00,1.8551199382173715,0.6414180137504538
2018-01-04 18:00:00,1.7112785168616165,0.6155893764328393
