Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Battery Electric Power (kW),Lighting Electric Power (kW),PV Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Battery SOC (-),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 00:00:00,-1.5607875673363374,0.1875985954010696,0.3408246924317367,0.23068701609031508,0.32742553112733025,0.05000000000000001,-2.1851727616875234,0.016272647133540527,0.0,0.017191735024028012,0.32363295740770864,0.0,51.66588024198009,0.4440010950741451,20.65292252060892,0.0
2018-01-01 01:00:00,-0.5648049893212944,0.18694113132952217,0.3430097932933896,0.22981039732825184,0.3257532902564107,0.05000000000000001,-1.1866413240394975,0.016272647133540527,0.0,0.021029707171223096,0.32198008612216655,0.0,51.665706356323135,0.18346391976198775,20.649237475035754,0.0
2018-01-01 02:00:00,0.6129045016461786,0.18628366725797474,0.31974529714883165,0.2289337785661886,0.3176980759464495,0.05000000000000001,0.0,0.016272647133540527,0.0,0.005727121695970409,0.3140181754528612,0.0,51.6664051408549,0.15,20.6490937452691,0.0
2018-01-01 03:00:00,0.6069367262082525,0.18562620318642734,0.31471313793790295,0.22805715980412536,0.31260691927058654,0.05000000000000001,0.0,0.016272647133540527,0.0,0.005727148234157265,0.3089859897037457,0.0,51.666405139648695,0.15,20.648950015502447,0.0
2018-01-01 04:00:00,0.6003347492734501,0.1849687391148799,0.3090541231936314,0.22718054104206212,0.3068815610978473,0.05000000000000001,0.0,0.016272647133540527,0.0,0.005727174772593179,0.30332694842103824,0.0,51.66640513843683,0.15,20.648806285735787,0.0
2018-01-01 05:00:00,0.5950181170542808,0.18901790966643892,0.3154516290998375,0.23257943511080748,0.29517338287322664,0.05000000000000001,0.0,0.01726529907024658,0.0,0.02369724293942817,0.29175438616040933,0.0,51.66558454471686,0.15,20.648652629253082,0.0
2018-01-01 06:00:00,0.8207656443046686,0.22225292254714824,0.27904714003635805,0.4439402338605442,0.27652764170225697,0.05000000000000001,0.0,0.0502977687418674,0.0,0.005722521210961239,0.27332461882539677,0.0,51.66640527657528,0.15,20.67402730053653,0.0
2018-01-01 07:00:00,1.1074344085859071,0.28919596560382294,0.2541381434290758,0.7002450728449011,0.2513354320081573,0.05000000000000001,0.0,0.10718101218487115,-0.0013271084520228933,0.005713932641090276,0.24842421078798557,0.0,51.66640571066939,0.15,20.720532218487506,0.0
2018-01-01 08:00:00,0.9334981790231186,0.2958483055568992,0.23265756035836574,0.7091148594490031,0.2296042136890457,0.05000000000000001,0.0,0.11353579712837308,-0.16875669124330328,0.005712854935988568,0.2269447054223772,0.0,51.66640578876379,0.15,20.726362079558715,0.0
2018-01-01 09:00:00,0.2368715143043076,0.2958483055568992,0.19794417601034656,0.7091148594490031,0.1944841699499714,0.05000000000000001,0.0,0.11600783038726743,-0.8327353454819342,0.0057127184536180835,0.19223145755672846,0.0,51.66640579780551,0.15,20.727100585313437,0.0
2018-01-01 10:00:00,-0.7081957464760597,0.29519084148535185,0.15877285247843634,0.7082382406869399,0.1471080164385709,0.05000000000000001,0.0,0.11237557663088248,-1.7259175802324531,0.013368789898227271,0.14540406258020908,0.0,51.66605653993932,0.15,20.72655207792418,0.0
2018-01-01 11:00:00,-1.4438037206768064,0.30087019758364236,0.13194900580798852,0.5487632672425363,0.11609453844180762,0.05000000000000001,0.020899606765414802,0.1074842305098553,-2.28704536363642,0.017199191749676768,0.11474981405831175,0.0,51.665881329526286,0.15,20.71357606181097,0.0
2018-01-01 12:00:00,-1.505944628927993,0.3081800016082661,0.10657249709177248,0.3914622243665771,0.1020344302424629,0.05000000000000001,0.23082214606987203,0.10393767697072097,-2.384201106577626,0.005719932836674013,0.10085256425509848,0.0,51.66640511662138,0.16120253634492546,20.688112078829693,0.0
2018-01-01 13:00:00,-1.6165269634491926,0.3081800016082661,0.1008388629264775,0.3914622243665771,0.09623362331266971,0.05000000000000001,0.0816746323828963,0.10290930816087102,-2.3388067516722066,0.0057199147873136175,0.09511894813916388,0.0,51.66640546999522,0.17537904989595068,20.68812570073006,0.0
2018-01-01 14:00:00,-1.2820884651815019,0.30218512572673717,0.10297001745586108,0.3834690565245385,0.09064389430996073,0.05000000000000001,0.2316652444570575,0.10452437304441674,-2.1423910335174754,0.013376052423621916,0.08959396503223915,0.0,51.66605585758973,0.19352422836632574,20.687302590389507,0.0
2018-01-01 15:00:00,-0.9722962787101865,0.31351741341824757,0.09337223530163265,0.39857877344655246,0.08867991366024085,0.05000000000000001,0.0,0.11408951338157976,-1.6236444791985596,0.005719502108498856,0.08765273319313378,0.0,51.66640548317565,0.20446517522049004,20.690362083571976,0.0
2018-01-01 16:00:00,-0.009953445089471527,0.3043414399584677,0.13154516941808594,0.3863441421668459,0.1040249451737258,0.05000000000000001,-0.016931365588298736,0.11928849090899661,-0.6526796577507411,0.028725146389229562,0.10282002302885636,0.0,51.66535567583284,0.20446517522049004,20.688835361459827,0.0
2018-01-01 17:00:00,0.301656553711859,0.35345787764177633,0.14867361726370704,0.4518327257445908,0.12528414859372086,0.05000000000000001,-0.513018830096276,0.18755850946982341,0.0,0.024840636414315023,0.12383298084939202,0.0,51.66588133330498,0.18422526240639356,20.7090570994355,0.0
