Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Battery Electric Power (kW),Lighting Electric Power (kW),PV Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Battery SOC (-),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 04:50:00,0.5957667496163299,0.1849687391148799,0.3045390391614232,0.22718054104206215,0.3023135614407272,0.05,0.0,0.016272647133540527,0.0,0.005727179204565517,0.2988118599568577,0.0,51.666405138032474,0.15,20.64878233077468,0
2018-01-01 05:00:00,0.595577226464633,0.1849687391148799,0.3590918524466881,0.22718054104206215,0.3030733096051589,0.05,0.0,0.015323375817411847,0.0,0.05952904449718744,0.2995628079495007,0.0,51.66640513803247,0.15,20.64878233077468,0
2018-01-01 05:10:00,0.5963607118352422,0.1849687391148799,0.3599743280941083,0.22718054104206215,0.3038567949757681,0.05,0.0,0.015323375817411847,0.0,0.05963710989412129,0.300337218199987,0.0,51.66394830407539,0.15,20.648626688948763,0
2018-01-01 05:20:00,0.5970519141293325,0.1849687391148799,0.3068558758918798,0.22718054104206215,0.3045479972698584,0.05,0.0,0.015323375817411847,0.0,0.0058354616019811595,0.3010204142898986,0.0,51.663943369325736,0.15,20.648626688948763,0
2018-01-01 05:30:00,0.578471381945572,0.1849687391148799,0.2883825259466213,0.22718054104206215,0.285967465086098,0.05,0.0,0.015323375817411847,0.0,0.005727425320980028,0.28265510062564125,0.0,51.66640019337359,0.15,20.648626688948763,0
2018-01-01 05:40:00,0.579025715469533,0.1849687391148799,0.2889302216769381,0.22718054104206215,0.2865217986100589,0.05,0.0,0.015323375817411847,0.0,0.005727208378964843,0.28320301329797326,0.0,51.66640512679369,0.15,20.64862668894876,0
2018-01-01 05:50:00,0.623621752481372,0.20926376242423397,0.2894749705427893,0.25957390545453424,0.28707293169241743,0.05,0.0,0.02697491533442026,0.0,0.00572720794333428,0.28374776259945506,0.0,51.666405136700234,0.15,20.648626688948763,0
2018-01-01 06:00:00,0.6633308763642407,0.22225292254714824,0.2885519010691881,0.27689278561841996,0.28614032200395323,0.05,0.0,0.05029776874186741,0.0,0.0057259457293734085,0.2828259553398147,0.0,51.66640513672013,0.15,20.65547647550871,0
2018-01-01 06:10:00,0.6623956373282864,0.22225292254714824,0.2876262974006681,0.27689278561841996,0.28520508296799896,0.05,0.0,0.05029776874186741,0.0,0.005724748212221251,0.28190154918844684,0.0,51.666405194358475,0.15,20.661961415023796,0
2018-01-01 06:20:00,0.6627688509434051,0.22225292254714824,0.2879951856734883,0.27689278561841996,0.2855782965831177,0.05,0.0,0.05029776874186741,0.0,0.00572474580754968,0.28227043986593864,0.0,51.666405249042455,0.15,20.661961415023796,0
2018-01-01 06:30:00,0.9840976516500612,0.22225292254714824,0.2753769597263292,0.6109876821026684,0.2728122008055253,0.05,0.0,0.05029776874186741,0.0,0.005724745802721179,0.269652213923608,0.0,51.66640524915226,0.15,20.661961415023796,0
2018-01-01 06:40:00,0.975995338632303,0.22225292254714824,0.26736122824522773,0.6109876821026684,0.2647098877877671,0.05,0.0,0.05029776874186741,0.0,0.005717478153844048,0.2616437500913837,0.0,51.66640524915249,0.15,20.701401541319537,0
2018-01-01 06:50:00,0.9760055109097154,0.22225292254714824,0.2673712681032468,0.6109876821026684,0.2647200600651795,0.05,0.0,0.05029776874186741,0.0,0.00571746356005787,0.26165380454318893,0.0,51.666405581025856,0.15,20.701401541319537,0
2018-01-01 07:00:00,1.1222049274358874,0.28919596560382294,0.2674293695383413,0.7002450728449012,0.26477884240611477,0.05,0.0,0.10718101218487115,0.0,0.005717463530752919,0.26171190600758837,0.0,51.666405581692274,0.15,20.70140154131954,0
2018-01-01 07:10:00,1.1174018800140548,0.28919596560382294,0.26267772560873665,0.7002450728449012,0.2599757949842822,0.05,0.0,0.10718101218487115,0.0,0.005713233269060092,0.25696449233967655,0.0,51.666405581693624,0.15,20.724358353921097,0
2018-01-01 07:20:00,1.1173147641223429,0.28919596560382294,0.2625916102868397,0.7002450728449012,0.25988867909257024,0.05,0.0,0.10718101218487115,0.0,0.005713224774492325,0.2568783855123474,0.0,51.6664057748663,0.15,20.724358353921097,0
2018-01-01 07:30:00,1.096056577353745,0.28919596560382294,0.24432259731474373,0.7002450728449012,0.24140557614196495,0.05,0.0,0.10718101218487115,-0.00277508381799262,0.0057132247574348035,0.23860937255730894,0.0,51.666405775254205,0.15,20.724358353921097,0
2018-01-01 07:40:00,1.0964415936110123,0.28919596560382294,0.24401350650492462,0.7002450728449012,0.24109286317425255,0.05,0.0,0.10718101218487115,-0.0020773545930128723,0.0057132247574009165,0.2383002817475237,0.0,51.66640577525498,0.15,20.724358353921097,0
2018-01-01 07:50:00,1.0951867089783998,0.28919596560382294,0.24379405132086893,0.7002450728449012,0.240870836249759,0.05,0.0,0.10718101218487115,-0.003110212301131867,0.005713224757400602,0.23808082656346832,0.0,51.66640577525498,0.15,20.7243583539211,0
2018-01-01 08:00:00,1.1075782971365062,0.2958483055568992,0.24360760655475536,0.7091148594490031,0.24068220658404255,0.05,0.0,0.11353579712837308,-0.005754566024912458,0.005713224757400602,0.23789438179735475,0.0,51.66640577525498,0.15,20.7243583539211,0
2018-01-01 08:10:00,1.1055688089698887,0.2958483055568992,0.24281397630287185,0.7091148594490031,0.23987972424275644,0.05,0.0,0.11353579712837308,-0.006961571850243958,0.005712781684548906,0.23710119461832294,0.0,51.66640577525498,0.15,20.726762824686237,0
2018-01-01 08:20:00,1.1023235709921495,0.2958483055568992,0.24261343659186868,0.7091148594490031,0.23967683535715295,0.05,0.0,0.11353579712837308,-0.010003920942379696,0.0057127807948372565,0.23690065579703143,0.0,51.66640579548767,0.15,20.726762824686237,0
2018-01-01 08:30:00,0.7823274805853023,0.2958483055568992,0.22359133138646614,0.7091148594490031,0.2204318148581822,0.05,0.0,0.11353579712837308,-0.310754990850256,0.005712780793050584,0.21787855059341554,0.0,51.6664057955283,0.15,20.726762824686237,0
