Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-10-23 17:05:00,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.747846237564886,20.83619935006483,0.0
2025-10-23 17:05:05,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.74676802941821,20.835227565966427,0.0
2025-10-23 17:05:10,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.74568982561741,20.83427347046995,0.0
2025-10-23 17:05:15,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.74461162682096,20.833337017548775,0.0
2025-10-23 17:05:20,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.74353343368562,20.832415350976987,0.0
2025-10-23 17:05:25,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.74245524676174,20.83149840097536,0.0
2025-10-23 17:05:30,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.741377066224715,20.830583118442025,0.0
2025-10-23 17:05:35,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.740298892136366,20.82966921440921,0.0
2025-10-23 17:05:40,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.739220724547785,20.828756907754354,0.0
2025-10-23 17:05:45,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.73814256351818,20.82784635493595,0.0
2025-10-23 17:05:50,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.737064409112605,20.826937590565628,0.0
2025-10-23 17:05:55,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.735986261397386,20.826030599141234,0.0
2025-10-23 17:06:00,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.734908120438284,20.825125363284695,0.0
2025-10-23 17:06:05,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.7338299863004,20.824221874040365,0.0
2025-10-23 17:06:10,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.7327518590485,20.823320126682514,0.0
2025-10-23 17:06:15,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.73167373874717,20.822420116822478,0.0
2025-10-23 17:06:20,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.730595625460836,20.82152183942914,0.0
2025-10-23 17:06:25,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.729517519253726,20.820625289135894,0.0
2025-10-23 17:06:30,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.72843942018987,20.8197304605704,0.0
2025-10-23 17:06:35,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.72736132833312,20.818837348441473,0.0
2025-10-23 17:06:40,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.726283243747076,20.817945947511507,0.0
2025-10-23 17:06:45,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.725205166495186,20.81705625256654,0.0
2025-10-23 17:06:50,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.72412709664067,20.816168258408595,0.0
2025-10-23 17:06:55,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.72304903424658,20.815281959858382,0.0
2025-10-23 17:07:00,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.72197097937576,20.81439735175786,0.0
2025-10-23 17:07:05,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.720892932090855,20.813514428970695,0.0
2025-10-23 17:07:10,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.71981489245432,20.81263318638179,0.0
2025-10-23 17:07:15,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.71873686052843,20.811753618896915,0.0
2025-10-23 17:07:20,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.71765883637524,20.8108757214425,0.0
2025-10-23 17:07:25,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.71658082005664,20.809999488965524,0.0
2025-10-23 17:07:30,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.715502811634316,20.8091249164334,0.0
2025-10-23 17:07:35,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.71442481116977,20.808251998833846,0.0
2025-10-23 17:07:40,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.71334681872431,20.807380731174725,0.0
2025-10-23 17:07:45,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.71226883435906,20.806511108483928,0.0
2025-10-23 17:07:50,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.71119085813495,20.805643125809237,0.0
2025-10-23 17:07:55,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.710112890112725,20.804776778218184,0.0
2025-10-23 17:08:00,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.70903493035296,20.80391206079793,0.0
2025-10-23 17:08:05,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.70795697891603,20.803048968655148,0.0
2025-10-23 17:08:10,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.70687903586213,20.802187496915874,0.0
2025-10-23 17:08:15,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.70580110125126,20.801327640725397,0.0
2025-10-23 17:08:20,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.70472317514326,20.800469395248154,0.0
2025-10-23 17:08:25,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.703645257597756,20.79961275566757,0.0
2025-10-23 17:08:30,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.70256734867422,20.798757717185975,0.0
2025-10-23 17:08:35,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.701489448431936,20.797904275024468,0.0
2025-10-23 17:08:40,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.70041155693,20.797052424422816,0.0
2025-10-23 17:08:45,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.699333674227326,20.79620216063931,0.0
2025-10-23 17:08:50,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.698255800382675,20.795353478950698,0.0
2025-10-23 17:08:55,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.6971779354546,20.79450637465203,0.0
2025-10-23 17:09:00,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.696100079501484,20.79366084305658,0.0
2025-10-23 17:09:05,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.69502223258155,20.792816879495703,0.0
2025-10-23 17:09:10,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.693944394752826,20.791974479318768,0.0
2025-10-23 17:09:15,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.69286656607317,20.79113363789303,0.0
2025-10-23 17:09:20,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.69178874660027,20.790294350603514,0.0
2025-10-23 17:09:25,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.69071093639163,20.789456612852934,0.0
2025-10-23 17:09:30,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.6896331355046,20.788620420061584,0.0
2025-10-23 17:09:35,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.68855534399634,20.787785767667224,0.0
2025-10-23 17:09:40,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.68747756192384,20.786952651124995,0.0
2025-10-23 17:09:45,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.68639978934392,20.786121065907313,0.0
2025-10-23 17:09:50,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.68532202631323,20.785291007503773,0.0
2025-10-23 17:09:55,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.68424427288825,20.78446247142105,0.0
2025-10-23 17:10:00,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.683166529125295,20.7836354531828,0.0
2025-10-23 17:10:05,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.682088795080496,20.78280994832957,0.0
2025-10-23 17:10:10,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.68101107080984,20.781985952418715,0.0
2025-10-23 17:10:15,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.679933356369126,20.781163461024274,0.0
2025-10-23 17:10:20,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.678855651814,20.780342469736905,0.0
2025-10-23 17:10:25,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.67777795719993,20.77952297416378,0.0
2025-10-23 17:10:30,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.67670027258223,20.778704969928512,0.0
2025-10-23 17:10:35,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.675622598016034,20.777888452671046,0.0
2025-10-23 17:10:40,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.67454493355633,20.77707341804757,0.0
2025-10-23 17:10:45,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.67346727925791,20.77625986173045,0.0
2025-10-23 17:10:50,0.7457940655912996,0.24499253367318688,0.0,0.06654475822222956,0.05,0.6292493073690699,0.0,0.0,0.0,0.0,49.672389635175456,20.775447779408115,0.0
