Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-10-23 17:00:00,0.8412754981257357,0.28474802636122076,0.0,0.10901886717262026,0.05,0.6822566309531152,0.0,0.0,0.0,0.0,49.31686198978495,20.66253117353375,0.0
2025-10-23 18:00:00,0.7694588039514709,0.24866377442732654,0.03677868405182325,0.08531450891021473,0.05,0.6341442950412561,0.0,0.03677868405182325,0.0,0.0,50.72906313059014,20.400858853695322,0.0
2025-10-23 19:00:00,0.816722034833676,0.2512240493921446,0.0,0.12916403983932906,0.05,0.637557994994347,0.0,0.0,0.0,0.0,50.47121626845781,20.13384639474975,-0.015743819963723055
2025-10-23 20:00:00,0.9281584773457539,0.2691872954132821,0.0,0.21664948765655684,0.05,0.661508989689197,0.0,0.0,0.0,0.0,49.66361730615115,20.00244741183719,-0.10866369927398259
2025-10-23 21:00:00,0.48708518009216406,0.22712290267332086,0.043804954954954956,0.10938079336801391,0.05,0.28338609245331675,0.04431829427083334,0.0,0.043804954954954956,0.0,48.878429578077736,20.20999688485186,-0.07669237148636417
2025-10-23 22:00:00,0.3561671900062694,0.19347728251153662,0.0848228281959674,0.019034762976998278,0.05,0.2385252655709378,0.04860716145833334,0.03677868405182325,0.048044144144144145,0.0,49.727480010686214,20.171802239994822,-0.09312817272752341
2025-10-23 23:00:00,0.39021384842111867,0.19128337910433,0.08690337837837837,0.016692010049373013,0.05,0.23560006102799563,0.08792177734375001,0.0,0.08690337837837837,0.0,50.80346608760853,20.292061009435574,-0.05495558236127008
2025-10-24 00:00:00,0.3449277226590797,0.19055207796859447,0.04451148648648648,0.015269624343314818,0.05,0.23462499284701488,0.04503310546875,0.0,0.04451148648648648,0.0,49.993602852228335,20.269235605991575,-0.05259755070424106
2025-10-24 01:00:00,0.34466746567601564,0.1898207768328589,0.045218018018018016,0.015269624343314818,0.05,0.23364992466603418,0.04574791666666667,0.0,0.045218018018018016,0.0,49.2050894502044,20.212019752457653,-0.05735998633982819
2025-10-24 02:00:00,0.37728852379711825,0.18908947569712337,0.12101084469158481,0.015269624343314818,0.05,0.23267485648505343,0.07934404296875,0.042585844691584815,0.078425,0.0,48.578738088990775,20.176053473107356,-0.09011437995180377
2025-10-24 03:00:00,0.3556677025079941,0.18788489488653026,0.05864211711711711,0.015269624343314818,0.05,0.231068748737596,0.05932932942708335,0.0,0.05864211711711711,0.0,51.280092964410585,20.331357372960714,-0.04300406248224232
2025-10-24 04:00:00,0.34245707233099015,0.1876268734256523,0.045924549549549554,0.015269624343314818,0.05,0.23072472012309195,0.046462727864583345,0.0,0.045924549549549554,0.0,50.45917199529989,20.193429394995114,-0.06519234474772789
2025-10-24 05:00:00,0.38816677246883685,0.1876268734256523,0.09184909909909911,0.014516596616578125,0.05,0.23072472012309195,0.09292545572916669,0.0,0.09184909909909911,0.0,49.680926520233044,20.27427859926413,-0.0677139151435627
2025-10-24 06:00:00,0.2970241136068012,0.18908947569712337,0.0,0.01434925712174775,0.05,0.23267485648505343,0.0,0.0,0.0,0.0,49.30152729435206,20.480458535323187,0.0
