Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Heating Electric Power (kW),Other Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),PV Electric Power (kW),Water Heating Electric Power (kW),Battery Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Battery SOC (-),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 00:00:00,5.718379872464317,5.061539192713865,0.0,7.5080376491446925,0.23068701609031508,0.016272647133540527,0.05000000000000001,0.0,0.09666835040493856,-2.1832857903091694,0.0,51.8663954796342,0.4440512502217151,20.63391528670024,0.0
2018-01-01 01:00:00,6.0111460663455665,4.604551569697214,0.0,6.798147105281402,0.22981039732825184,0.016272647133540527,0.05000000000000001,0.0,0.10550164965138592,-1.1885857330490153,0.0,51.925991660493196,0.18358699012935423,20.6331216659931,0.0
2018-01-01 02:00:00,6.150919226088838,3.9595733412019958,0.0,5.8326243982727926,0.2289337785661886,0.016272647133540527,0.05000000000000001,0.0,0.023088402116316697,0.0,0.0,51.88894453950572,0.15,20.645473185463768,0.0
2018-01-01 03:00:00,5.941582516313826,3.824557038050124,0.0,5.624905689310879,0.22805715980412536,0.016272647133540527,0.05000000000000001,0.0,0.02234702006528129,0.0,0.0,51.680678101682936,0.15,20.645776520678947,0.0
2018-01-01 04:00:00,5.724873636217414,3.6844406679618356,0.0,5.408959498646979,0.22718054104206212,0.016272647133540527,0.05000000000000001,0.0,0.02246094939483406,0.0,0.0,51.47566622365709,0.15,20.645661120153168,0.0
2018-01-01 05:00:00,5.5615813616103935,3.5422327427000693,0.0,5.146558727691497,0.23257943511080748,0.01726529907024658,0.05000000000000001,0.0,0.11517789973784281,0.0,0.0,51.505038398266244,0.15,20.631539767393207,0.0
2018-01-01 06:00:00,5.029293395506866,3.110331967522105,0.0,4.462337819038734,0.4439402338605442,0.0502977687418674,0.05000000000000001,0.0,0.022717573865721125,0.0,0.0,51.41778609277589,0.15,20.67078175351786,0.0
2018-01-01 07:00:00,4.561840038781718,2.673954641602221,0.0,3.6831928726006677,0.7002450728449011,0.10718101218487115,0.05000000000000001,-0.0013271084520228933,0.022548189603301294,0.0,0.0,51.22768428157989,0.15,20.717414527490078,0.0
2018-01-01 08:00:00,3.842065205244282,2.3139696115537993,0.0,3.1155636490278265,0.7091148594490031,0.11353579712837308,0.05000000000000001,-0.16875669124330328,0.02260759088238282,0.0,0.0,51.0724193358887,0.15,20.72326771134656,0.0
2018-01-01 09:00:00,2.58544596527028,1.929544861456985,0.0,2.5204005053663514,0.7091148594490031,0.11600783038726743,0.05000000000000001,-0.8327353454819342,0.02265811554959271,0.0,0.0,50.92454012547535,0.15,20.724028759027266,0.0
2018-01-01 10:00:00,1.0428104578125332,1.4999189574579663,0.0,1.844150467188947,0.7082382406869399,0.11237557663088248,0.05000000000000001,-1.7259175802324531,0.05396375353821686,0.0,0.0,50.80349360061759,0.15,20.719678829646586,0.0
2018-01-01 11:00:00,-0.062380432940319704,1.2383723258576274,0.0,1.4221964644295924,0.5487632672425363,0.1074842305098553,0.05000000000000001,-2.28704536363642,0.07522820031791057,0.02099276819620599,0.0,50.8366170015365,0.15,20.702911990577253,0.0
2018-01-01 12:00:00,-0.3727163885899931,1.0957601289384538,0.0,1.2094390061870843,0.3914622243665771,0.10393767697072097,0.05000000000000001,-2.384201106577626,0.025375520845287446,0.23127028961796295,0.0,50.875653524873485,0.16123319250301202,20.683791479818797,0.0
2018-01-01 13:00:00,-0.5750313610915554,1.0337582411090354,0.0,1.114408807582386,0.3914622243665771,0.10290930816087102,0.05000000000000001,-2.3388067516722066,0.022907902252571385,0.08208714821824563,0.0,50.74155304285741,0.17544455560686786,20.68501563908595,0.0
2018-01-01 14:00:00,-0.25119254910718786,1.0039524925803167,0.0,1.0644283940217147,0.3834690565245385,0.10452437304441674,0.05000000000000001,-2.1423910335174754,0.05671670710147105,0.23205995371814633,0.0,50.714761165830375,0.19363527403614156,20.679297239871925,0.0
2018-01-01 15:00:00,-0.0015099886514957084,0.9887506776429,0.0,1.0364102766898788,0.39857877344655246,0.11408951338157976,0.05000000000000001,-1.6236444791985596,0.023055927029052774,0.0,0.0,50.64152811262727,0.20459508262548734,20.68721793345824,0.0
2018-01-01 16:00:00,1.3328351037016735,1.1899680234663983,0.0,1.3231000060004885,0.3863441421668459,0.11928849090899661,0.05000000000000001,-0.6526796577507411,0.1236451999258556,-0.016863077549772048,0.0,50.686044124139094,0.20459508262548734,20.672463719417294,0.0
2018-01-01 17:00:00,1.9323147121682689,1.4449539314463482,0.0,1.647007853655866,0.4518327257445908,0.18755850946982341,0.05000000000000001,0.0,0.11026126466711517,-0.5143456413691266,0.0,51.01819209376507,0.1843790162092005,20.69536982568624,0.0
2018-01-01 18:00:00,2.8664773875871767,1.7271225893254794,0.0,2.1821625075127358,0.3505161674108516,0.12376016210658163,0.05000000000000001,0.0,0.1600583222819996,-1.9771724992088134e-05,0.0,51.43642837688322,0.15000033794171827,20.661545598169067,0.0
2018-01-01 19:00:00,2.9708934091304404,1.8262630182967134,0.0,2.3765347835117665,0.3535307843889937,0.14517461949221408,0.05000000000000001,0.0,0.045653221737466505,0.0,0.0,51.56308944867331,0.15,20.67623951739153,0.0
2018-01-01 20:00:00,3.153917146070994,1.892705971179189,0.0,2.3901839052572265,0.4114109608166527,0.19994512045557053,0.05000000000000001,0.0,0.10237715954154496,0.0,0.0,51.571659976821174,0.15,20.69387999134786,0.0
