Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Heating Electric Power (kW),Other Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),PV Electric Power (kW),Water Heating Electric Power (kW),Battery Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Battery SOC (-),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 00:00:00,7.8301681566482335,5.024496579061058,0.0,7.459661626594297,0.23068701609031508,0.016272647133540527,0.05,0.0,0.07354686683008102,0.0,0.0,51.81710912307233,0.5,20.64105539443682,0
2018-01-01 00:10:00,7.797152218318962,5.016731985800954,0.0,7.46095169655712,0.23068701609031508,0.016272647133540527,0.05,0.0,0.03924085853798589,0.0,0.0,51.81920356497178,0.5,20.638157264504667,0
2018-01-01 00:20:00,4.7703837718854025,5.0480356121537096,0.0,7.414405149109208,0.23068701609031508,0.016272647133540527,0.05,0.0,0.2841089390096043,-3.225089979457265,0.0,51.796888161083736,0.5,20.643491374179444,0
2018-01-01 00:30:00,4.871652988208223,5.1749865844713785,0.0,7.680396234246813,0.23068701609031508,0.016272647133540527,0.05,0.0,0.10510627872569915,-3.210809187988146,0.0,51.9106064840185,0.4442218317461791,20.60573160782947,0
2018-01-01 00:40:00,4.573136647413585,5.069011453883086,0.0,7.5386584894774,0.23068701609031508,0.016272647133540527,0.05,0.0,0.047563451507223777,-3.3100449567948944,0.0,51.93570210111296,0.388685022100535,20.632912515476285,0
2018-01-01 00:50:00,4.467785452311498,5.0359729409130045,0.0,7.494152698883317,0.23068701609031508,0.016272647133540527,0.05,0.0,0.03044370781903721,-3.353770617614712,0.0,51.918863443545874,0.33140064748357634,20.642143563774766,0
2018-01-01 01:00:00,4.555545659949796,5.030762188101161,0.0,7.489277146852982,0.22981039732825184,0.016272647133540527,0.05,0.0,0.024841709017807564,-3.2546562403827854,0.0,51.8896258178696,0.273337855392726,20.644849882827764,0
2018-01-01 01:10:00,4.593419926920101,5.036364102998859,0.0,7.498650044814819,0.22981039732825184,0.016272647133540527,0.05,0.0,0.02303669525824459,-3.2243498576147553,0.0,51.85662579016294,0.21700048502405755,20.64558912230571,0
2018-01-01 01:20:00,7.523714763917242,5.132026225406701,0.0,7.513453802847288,0.22981039732825184,0.016272647133540527,0.05,0.0,0.36657908710386694,-0.6524011704957058,0.0,51.822353530593354,0.16118176927848135,20.64587923549249,0
2018-01-01 01:30:00,6.662394355295407,4.247653756170768,0.0,6.235920591393424,0.22981039732825184,0.016272647133540527,0.05,0.0,0.1304978492381637,-0.00010712979797341906,0.0,51.97080515236456,0.1500018310808115,20.59300030973898,0
2018-01-01 01:40:00,6.40509875270223,4.111212423690635,0.0,6.053962988151955,0.22981039732825184,0.016272647133540527,0.05,0.0,0.05505272009135312,-2.8710150590391623e-12,0.0,52.01423688761363,0.15000000000004907,20.62860198161769,0
2018-01-01 01:50:00,6.326702939288621,4.06929072181516,0.0,5.99761805762795,0.22981039732825184,0.016272647133540527,0.05,0.0,0.03300183719887955,0.0,0.0,52.002302784355074,0.15,20.64080946397597,0
2018-01-01 02:00:00,6.314152150301546,4.063983714714441,0.0,5.993257659475233,0.22893377856618863,0.016272647133540527,0.05,0.0,0.025688065126584385,0.0,0.0,51.97436756745764,0.15,20.644302118529485,0
2018-01-01 02:10:00,6.324358019405507,4.071509858856489,0.0,6.005825720001273,0.22893377856618863,0.016272647133540527,0.05,0.0,0.02332587370450531,0.0,0.0,51.94146569145831,0.15,20.645310296500988,0
2018-01-01 02:20:00,6.342029118762066,4.0832189615700285,0.0,6.024242305761479,0.22893377856618863,0.016272647133540527,0.05,0.0,0.022580387300858127,0.0,0.0,51.90689840914408,0.15,20.64568729897621,0
2018-01-01 02:30:00,5.952631398046749,3.831783666895497,0.0,5.635074238760142,0.22893377856618863,0.016272647133540527,0.05,0.0,0.022350733586877867,0.0,0.0,51.87198239216965,0.15,20.645810814990234,0
2018-01-01 02:40:00,5.974212617917133,3.8457479824095886,0.0,5.65671673824075,0.22893377856618863,0.016272647133540527,0.05,0.0,0.022289453976654165,0.0,0.0,51.83693689818793,0.15,20.64585500954685,0
2018-01-01 02:50:00,5.998132052100032,3.8611958627659315,0.0,5.680629727397883,0.22893377856618863,0.016272647133540527,0.05,0.0,0.022295899002420325,0.0,0.0,51.8020162786167,0.15,20.645873574238834,0
2018-01-01 03:00:00,6.021546129023181,3.8762261835933858,0.0,5.704914214080137,0.2280571598041254,0.016272647133540527,0.05,0.0,0.022302108005378046,0.0,0.0,51.76713460108778,0.15,20.64588089782058,0
2018-01-01 03:10:00,6.0471699437296325,3.8927732605189007,0.0,5.730527221413788,0.2280571598041254,0.016272647133540527,0.05,0.0,0.022312915378178443,0.0,0.0,51.73243101150758,0.15,20.645743439663413,0
2018-01-01 03:20:00,6.072087178535853,3.908860843314014,0.0,5.755425835782831,0.2280571598041254,0.016272647133540527,0.05,0.0,0.022331535815356,0.0,0.0,51.69776747693923,0.15,20.64575003886162,0
2018-01-01 03:30:00,5.81274982270668,3.7413389577462723,0.0,5.4960720314199,0.2280571598041254,0.016272647133540527,0.05,0.0,0.02234798434911358,0.0,0.0,51.663290467870944,0.15,20.645754509233186,0
2018-01-01 03:40:00,5.835951572986529,3.756320564556577,0.0,5.5192605179155345,0.2280571598041254,0.016272647133540527,0.05,0.0,0.022361248133328456,0.0,0.0,51.62885605224543,0.15,20.645760184145225,0
