Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Cooling Electric Power (kW),PV Electric Power (kW),Battery Electric Power (kW),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Battery SOC (-),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 00:00:00,7.836147921057193,5.028359121082127,0.0,0.05,0.0,0.0,0.016272647133540527,0.23068701609031508,7.465641380349434,0.07354687748390315,0.0,51.81710777177028,0.5,20.641055391602276,0
2018-01-01 00:10:00,7.803046487842737,5.020539305867679,0.0,0.05,0.0,0.0,0.016272647133540527,0.23068701609031508,7.46684596120974,0.03924086340914085,0.0,51.81920222796895,0.5,20.63815726396061,0
2018-01-01 00:20:00,4.773302403679996,5.051788774690419,0.0,0.05,0.0,-3.227981784376362,0.016272647133540527,0.23068701609031508,7.42021556353725,0.28410896129525154,0.0,51.79688683588659,0.5,20.64349137400542,0
2018-01-01 00:30:00,4.874530011507092,5.178686154476984,0.0,0.05,0.0,-3.2136596238204334,0.016272647133540527,0.23068701609031508,7.686123685491863,0.10510628661180685,0.0,51.91060551352609,0.44417121633916956,20.60573160867313,0
2018-01-01 00:40:00,4.575974015101567,5.072659210011839,0.0,0.05,0.0,-3.3128548300700578,0.016272647133540527,0.23068701609031508,7.544305727464147,0.047563454483621974,0.0,51.93570113987264,0.388584497255286,20.632912515680914,0
2018-01-01 00:50:00,4.470583279596345,5.039569216689742,0.0,0.05,0.0,-3.3565403318582865,0.016272647133540527,0.23068701609031508,7.499720238439878,0.030443709790898617,0.0,51.918862490563846,0.33125085685041494,20.64214356395133,0
2018-01-01 01:00:00,4.558304131905666,5.034307979610677,0.0,0.05,0.0,-3.257387153007345,0.016272647133540527,0.22981039732825184,7.494766529800266,0.02484171065095262,0.0,51.88962487305579,0.2731394545314309,20.6448498829232,0
2018-01-01 01:10:00,4.596140186016206,5.0398603003977,0.0,0.05,0.0,-3.227042204376108,0.016272647133540527,0.22981039732825184,7.504062649153033,0.02303669677748861,0.0,51.8566248534786,0.21675415769308096,20.645589122375,0
2018-01-01 01:20:00,7.546136121768514,5.13547370459707,0.0,0.05,0.0,-0.6353170106916367,0.016272647133540527,0.22981039732825184,7.518790975154146,0.3665791128442115,0.0,51.82235260188693,0.16088817019034085,20.645879235553416,0
2018-01-01 01:30:00,6.66765914177584,4.251050881594507,0.0,0.05,0.0,-0.00010157615931532824,0.016272647133540527,0.22981039732825184,6.241179815648441,0.13049785782492296,0.0,51.97080459501172,0.15000173615702983,20.59300031063167,0
2018-01-01 01:40:00,6.410284934207914,4.114562364866281,0.0,0.05,0.0,-2.580341023084409e-12,0.016272647133540527,0.22981039732825184,6.059149166771705,0.055052722976997016,0.0,52.01423633676299,0.1500000000000441,20.628601981836454,0
2018-01-01 01:50:00,6.331817504784188,4.0725944040649305,0.0,0.05,0.0,0.0,0.016272647133540527,0.22981039732825184,6.002732621367547,0.03300183895484903,0.0,52.00230223885378,0.15,20.64080946417596,0
2018-01-01 02:00:00,6.319196673780344,4.067242154445024,0.0,0.05,0.0,0.0,0.016272647133540527,0.22893377856618863,5.998302181588093,0.025688066492522508,0.0,51.97436702727205,0.15,20.644302118637608,0
2018-01-01 02:10:00,6.329333560956652,4.0747237407147585,0.0,0.05,0.0,0.0,0.016272647133540527,0.22893377856618863,6.0108012603158345,0.023325874941088495,0.0,51.941465156560376,0.15,20.645310296580238,0
2018-01-01 02:20:00,6.346936599167448,4.086388880288253,0.0,0.05,0.0,0.0,0.016272647133540527,0.22893377856618863,6.029149784973433,0.02258038849428506,0.0,51.90689787942761,0.15,20.64568729904586,0
2018-01-01 02:30:00,5.9574697704583395,3.834908946266709,0.0,0.05,0.0,0.0,0.016272647133540527,0.22893377856618863,5.6399126099963075,0.02235073476230263,0.0,51.87198186759524,0.15,20.6458108150558,0
2018-01-01 02:40:00,5.978983451672181,3.8488296361216885,0.0,0.05,0.0,0.0,0.016272647133540527,0.22893377856618863,5.661487570828712,0.022289455143740543,0.0,51.83693637864873,0.15,20.64585500961084,0
2018-01-01 02:50:00,6.002841911468359,3.864238130917173,0.0,0.05,0.0,0.0,0.016272647133540527,0.22893377856618863,5.685339585604485,0.022295900164144664,0.0,51.80201576407305,0.15,20.64587357430148,0
2018-01-01 03:00:00,6.0261915094147325,3.8792268024423913,0.0,0.05,0.0,0.0,0.016272647133540527,0.2280571598041254,5.709559593315742,0.022302109161324756,0.0,51.767134091436795,0.15,20.64588089788237,0
2018-01-01 03:10:00,6.051752876277865,3.89573354204865,0.0,0.05,0.0,0.0,0.016272647133540527,0.2280571598041254,5.735110152812803,0.022312916527396476,0.0,51.73243050671106,0.15,20.645743439724114,0
2018-01-01 03:20:00,6.076608666841377,3.9117814357856364,0.0,0.05,0.0,0.0,0.016272647133540527,0.2280571598041254,5.759947322943784,0.022331536959927366,0.0,51.69776697689683,0.15,20.64575003892177,0
2018-01-01 03:30:00,5.817208211365356,3.7442187918748724,0.0,0.05,0.0,0.0,0.016272647133540527,0.2280571598041254,5.500530418940027,0.02234798548766385,0.0,51.663289972546366,0.15,20.645754509292257,0
2018-01-01 03:40:00,5.840348775397976,3.759160876276001,0.0,0.05,0.0,0.0,0.016272647133540527,0.2280571598041254,5.523657719193924,0.022361249266386222,0.0,51.62885556154214,0.15,20.645760184203716,0
