Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Cooling Electric Power (kW),PV Electric Power (kW),Battery Electric Power (kW),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Battery SOC (-),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 00:00:00,5.722264019797488,5.065266963803132,0.0,0.05000000000000001,0.0,-2.1851727616875234,0.016272647133540527,0.23068701609031508,7.513808759415386,0.0966683588457705,0.0,51.8663943299314,0.4440010950741451,20.63391528631228,0.0
2018-01-01 01:00:00,6.018390336743054,4.607974939188527,0.0,0.05000000000000001,0.0,-1.1866413240394975,0.016272647133540527,0.22981039732825184,6.8034469596491896,0.1055016566715703,0.0,51.925990916508304,0.18346391976198775,20.633121666249284,0.0
2018-01-01 02:00:00,6.155793661250553,3.9627219147922674,0.0,0.05000000000000001,0.0,0.0,0.016272647133540527,0.2289337785661886,5.837498832217811,0.023088403333013985,0.0,51.88894401226284,0.15,20.645473185538638,0.0
2018-01-01 03:00:00,5.946073771882233,3.8274581021036282,0.0,0.05000000000000001,0.0,0.0,0.016272647133540527,0.22805715980412536,5.629396943736925,0.02234702120764233,0.0,51.68067760391028,0.15,20.64577652073861,0.0
2018-01-01 04:00:00,5.728985321368714,3.6870965537598983,0.0,0.05000000000000001,0.0,0.0,0.016272647133540527,0.22718054104206212,5.41307118268929,0.02246095050382074,0.0,51.47566575295414,0.15,20.64566112020794,0.0
2018-01-01 05:00:00,5.565457602506162,3.5447365446228614,0.0,0.05000000000000001,0.0,0.0,0.01726529907024658,0.23257943511080748,5.150434962646248,0.11517790567886073,0.0,51.505038108373164,0.15,20.631539767587732,0.0
2018-01-01 06:00:00,5.032837691527352,3.1126213562278777,0.0,0.05000000000000001,0.0,0.0,0.0502977687418674,0.4439402338605442,4.4658821141538,0.022717574771140513,0.0,51.41778586833394,0.15,20.67078175357167,0.0
2018-01-01 07:00:00,4.564977610268323,2.675981312240786,0.0,0.05000000000000001,-0.0013271084520228933,0.0,0.10718101218487115,0.7002450728449011,3.6863304432530035,0.022548190437570535,0.0,51.22768418604138,0.15,20.717414527536235,0.0
2018-01-01 08:00:00,3.844209998631776,2.3153550109162624,0.0,0.05000000000000001,-0.16875669124330328,0.0,0.11353579712837308,0.7091148594490031,3.117708441645887,0.022607591651816347,0.0,51.07241930295132,0.15,20.723267711386473,0.0
2018-01-01 09:00:00,2.5868253257605374,1.9304358400277273,0.0,0.05000000000000001,-0.8327353454819342,0.0,0.11600783038726743,0.7091148594490031,2.5217798651295613,0.02265811627663986,0.0,50.924540095807,0.15,20.72402875906359,0.0
2018-01-01 10:00:00,1.044107340940623,1.5007566604430211,0.0,0.05000000000000001,-1.7259175802324531,0.0,0.11237557663088248,0.7082382406869399,1.8454473483942238,0.05396375546102983,0.0,50.803493575840385,0.15,20.71967882968761,0.0
2018-01-01 11:00:00,-0.06126864003060389,1.2391506484867685,0.0,0.05000000000000001,-2.28704536363642,0.020899606765414802,0.1074842305098553,0.5487632672425363,1.4234014162775726,0.07522820281043752,0.0,50.83661699253809,0.15,20.70291199064011,0.0
2018-01-01 12:00:00,-0.3720447990060089,1.0964834048220353,0.0,0.05000000000000001,-2.384201106577626,0.23082214606987203,0.10393767697072097,0.3914622243665771,1.2105587386404524,0.02537552152399475,0.0,50.87565352400427,0.16120253634492546,20.683791479859206,0.0
2018-01-01 13:00:00,-0.5743953073169948,1.0344355499405997,0.0,0.05000000000000001,-2.3388067516722066,0.0816746323828963,0.10290930816087102,0.3914622243665771,1.115457376620534,0.022907902824333356,0.0,50.74155304265343,0.17537904989595068,20.685015639118053,0.0
2018-01-01 14:00:00,-0.25060196543690727,1.0045889283268206,0.0,0.05000000000000001,-2.1423910335174754,0.2316652444570575,0.10452437304441674,0.3834690565245385,1.0654136853986067,0.056716708655948474,0.0,50.714761168509746,0.19352422836632574,20.67929723992663,0.0
2018-01-01 15:00:00,-0.0005815889798875817,0.9893503643831539,0.0,0.05000000000000001,-1.6236444791985596,0.0,0.11408951338157976,0.39857877344655246,1.0373386758419694,0.02305592754857042,0.0,50.64152811640039,0.20446517522049004,20.6872179334883,0.0
2018-01-01 16:00:00,1.333637608893368,1.1905304991115087,0.0,0.05000000000000001,-0.6526796577507411,-0.016931365588298736,0.11928849090899661,0.3863441421668459,1.3239707961564042,0.12364520300016096,0.0,50.68604412951046,0.20446517522049004,20.672463719520476,0.0
2018-01-01 17:00:00,1.9344583243602778,1.4454815317398608,0.0,0.05000000000000001,0.0,-0.513018830096276,0.18755850946982341,0.4518327257445908,1.647824652097811,0.11026126714432898,0.0,51.01819210045943,0.18422526240639356,20.69536982578531,0.0
2018-01-01 18:00:00,2.8672226431769805,1.7276036080426558,0.0,0.05000000000000001,0.0,-1.920278004725981e-05,0.12376016210658163,0.3505161674108516,2.1829071907777235,0.16005832566187117,0.0,51.43642838285979,0.15000032821720885,20.66154559837658,0.0
2018-01-01 19:00:00,2.9715915516116254,1.8267139734403282,0.0,0.05000000000000001,0.0,0.0,0.14517461949221408,0.3535307843889937,2.3772329251076534,0.045653222622764424,0.0,51.563089452860766,0.15,20.676239517451343,0.0
2018-01-01 20:00:00,3.1545728695376654,1.893129525931833,0.0,0.05000000000000001,0.0,0.0,0.19994512045557053,0.4114109608166527,2.390839626790315,0.10237716147512721,0.0,51.57165998046245,0.15,20.693879991452715,0.0
