Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Cooling Electric Power (kW),HVAC Heating Electric Power (kW),Other Electric Power (kW),Lighting Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 22:00:00,0.725202988112943,0.2798360701269547,0.19147699785987551,0.05,0.18780521215791832,0.35367031572482865,0.13372746023019602,0.18562986221014316,0.005847135649732365,0.0,51.63005412980513,21.04301249529194,0.0
2018-01-01 23:00:00,0.631394672105572,0.25419969416943516,0.22387227619910743,0.05,0.19781112663459946,0.3194884811148025,0.06409506435616996,0.19551987806354226,0.028352398135565164,0.0,51.65711845392266,20.91974174804917,0.0
2018-01-02 00:00:00,0.5163962705561742,0.19509219025298075,0.22222288220948982,0.05,0.2072994184702025,0.2406784758928633,0.01841837619310841,0.20489826690491053,0.017324615304579308,0.0,51.62036797523581,20.852353296607827,0.0
2018-01-02 01:00:00,0.510320818029688,0.18694113132952217,0.21759282494820462,0.05,0.21423777356789556,0.22981039732825184,0.016272647133540527,0.21175625495513997,0.005836569993064646,0.0,51.6383760432665,20.773407456932773,0.0
2018-01-02 02:00:00,0.513548485696582,0.18628366725797474,0.22151641604377914,0.05,0.21834205999685274,0.22893377856618863,0.016272647133540527,0.21581300138685056,0.005703414656928577,0.0,51.6571357073513,20.765240104166637,0.0
2018-01-02 03:00:00,0.5108141028644069,0.18562620318642734,0.21967871586193236,0.05,0.2164842959267409,0.2280571598041254,0.016272647133540527,0.21397675581948133,0.0057019600424510295,0.0,51.657353146376764,20.764658699347113,0.0
2018-01-02 04:00:00,0.5249689673282447,0.1849687391148799,0.23453617821649048,0.05,0.231515779152642,0.22718054104206215,0.016272647133540527,0.22883412920106697,0.005702049015423514,0.0,51.65735552172246,20.764077294527592,0.0
2018-01-02 05:00:00,0.512189551930393,0.1849687391148799,0.2349341156929382,0.05,0.21968563507091887,0.22718054104206215,0.015323375817411847,0.21714101381527112,0.01779310187766709,0.0,51.65735537643202,20.76349588970807,0.0
2018-01-02 06:00:00,0.6014205787027432,0.22225292254714824,0.28549939064038166,0.05,0.22423002434245579,0.27689278561841996,0.05029776874186741,0.22163276537323806,0.0638666252671436,0.0,51.63761101749397,20.762866299124212,0.0
2018-01-02 07:00:00,0.7061345212607096,0.2764962943284787,0.23083422617667254,0.05,0.21127240548859005,0.3492172813268607,0.09564483444525887,0.20882523476864498,0.022008991408027555,0.0,51.562374212750214,20.816806928037877,0.0
2018-01-02 08:00:00,0.6129120083874384,0.24189442262313893,0.1992730809247317,0.05,0.19566959959819838,0.30308145238640755,0.06416095640283247,0.1934031563596091,0.005869924565122579,0.0,51.63072658508935,20.891574527007755,0.0
