# file...... meter_logs.csv
# date...... Tue Oct 21 17:56:40 2025
# user...... midrar
# host...... (null)
# target.... triplex_meter 19
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,measured_real_power
2018-01-01 13:10:00 PST,+844.326
2018-01-01 13:20:00 PST,+783.528
2018-01-01 13:30:00 PST,+786.419
2018-01-01 13:40:00 PST,+787.263
2018-01-01 13:50:00 PST,+788.496
2018-01-01 14:00:00 PST,+789.304
2018-01-01 14:10:00 PST,+790.099
2018-01-01 14:20:00 PST,+728.495
2018-01-01 14:30:00 PST,+731.347
2018-01-01 14:40:00 PST,+732.168
2018-01-01 14:50:00 PST,+734.706
2018-01-01 15:00:00 PST,+735.483
2018-01-01 15:10:00 PST,+736.213
2018-01-01 15:20:00 PST,+633.135
2018-01-01 15:30:00 PST,+637.383
2018-01-01 15:40:00 PST,+638.168
2018-01-01 15:50:00 PST,+641.265
