Time,Battery Electric Power (kW),Total Electric Power (kW)
2018-01-01 17:00:00,-0.20317638705958485,2.858966734539153
2018-01-01 17:10:00,-0.4653149146124278,2.5951825827162196
2018-01-01 17:20:00,-1.062143121598738,1.9319069691441815
2018-01-01 17:30:00,-1.0604974973286474,2.1607225570298967
2018-01-01 17:40:00,-0.9940500907429195,2.4584837772442274
2018-01-01 17:50:00,-1.221220054358544,2.1321721090454138
2018-01-01 18:00:00,-1.353000282514036,2.138221273252883
2018-01-01 18:10:00,-0.0002304333539254596,3.3583216682294363
2018-01-01 18:20:00,-6.641658139971807e-12,3.517023814089425
2018-01-01 18:30:00,0.0,3.3835768118646925
2018-01-01 18:40:00,0.0,3.668509401985842
2018-01-01 18:50:00,0.0,3.7144364060121653
2018-01-01 19:00:00,0.0,3.6511355809034485
2018-01-01 19:10:00,0.0,3.571495582735685
2018-01-01 19:20:00,0.0,3.5617005844497744
2018-01-01 19:30:00,0.0,3.6466429059741547
2018-01-01 19:40:00,0.0,3.7015083395432167
2018-01-01 19:50:00,0.0,3.6656365953738774
2018-01-01 20:00:00,0.0,4.0295303328538825
2018-01-01 20:10:00,0.0,3.8876762614339215
2018-01-01 20:20:00,0.0,4.000248243216294
2018-01-01 20:30:00,0.0,3.9530900588973554
2018-01-01 20:40:00,0.0,4.009782254686776
2018-01-01 20:50:00,0.0,4.075885512678556
2018-01-01 21:00:00,0.0,4.023098951430082
2018-01-01 21:10:00,0.0,3.846519324627291
2018-01-01 21:20:00,0.0,3.8673936332772434
2018-01-01 21:30:00,0.0,4.115175833251517
2018-01-01 21:40:00,0.0,4.092774220458036
2018-01-01 21:50:00,0.0,3.9742900766292983
2018-01-01 22:00:00,0.0,3.9402713361739616
2018-01-01 22:10:00,0.0,3.809790210000082
2018-01-01 22:20:00,0.0,3.8447875301583205
2018-01-01 22:30:00,0.0,3.851910903126938
2018-01-01 22:40:00,0.0,3.8688719817451185
2018-01-01 22:50:00,0.0,3.876795365201383
2018-01-01 23:00:00,0.0,3.885525377739997
2018-01-01 23:10:00,0.0,3.6866845982156162
2018-01-01 23:20:00,0.0,3.748681582253963
2018-01-01 23:30:00,0.0,3.7584558971436346
2018-01-01 23:40:00,0.0,4.063890656115717
2018-01-01 23:50:00,0.0,4.344391058645329
