Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Cooling Electric Power (kW),HVAC Heating Electric Power (kW),Other Electric Power (kW),Lighting Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-01 00:00:00,0.4599366163488556,0.1875985954010696,0.1998035934542663,0.05,0.16297695312500002,0.23068701609031508,0.016272647133540527,0.16108918918918919,0.03871440426507711,0.0,50.79031254940916,20.32391402047885,-0.052366757555982524
2025-01-01 01:00:00,0.4161713257117924,0.18694113132952214,0.1574117015623744,0.05,0.12008828125000001,0.22981039732825184,0.016272647133540527,0.11869729729729729,0.03871440426507711,0.0,51.180876644982035,20.317022277894363,-0.047650669587087496
2025-01-01 02:00:00,0.4581833788247292,0.18628366725797474,0.16108918918918919,0.05,0.16297695312500002,0.22893377856618863,0.016272647133540527,0.16108918918918919,0.0,0.0,51.152774964834485,20.26418226861847,-0.06243145502789531
2025-01-01 03:00:00,0.43157355693766597,0.18562620318642734,0.13565405405405404,0.05,0.13724375000000003,0.2280571598041254,0.016272647133540527,0.13565405405405404,0.0,0.0,50.391032021563454,20.35446847611878,-0.04296757312541513
2025-01-01 04:00:00,0.46500787567560276,0.1849687391148799,0.16956756756756755,0.05,0.17155468750000002,0.22718054104206215,0.016272647133540527,0.16956756756756755,0.0,0.0,49.652574136591866,20.246656466552864,-0.06470735753116857
2025-01-01 05:00:00,0.4493366272168442,0.19104249494221842,0.14413243243243243,0.05,0.145821484375,0.23527888214518017,0.01823626069666395,0.14413243243243243,0.0,0.0,48.66665319945151,20.363643226181456,-0.04381988403326182
2025-01-01 06:00:00,0.7156032105359421,0.22225292254714824,0.20828197183264466,0.05,0.17155468750000002,0.4437507542940747,0.05029776874186741,0.16956756756756755,0.03871440426507711,0.0,50.47050016630972,20.254600832874896,-0.06493647954068357
2025-01-01 07:00:00,0.9857131415218335,0.28919596560382294,0.12717567567567567,0.05,0.12866601562500002,0.6998661137119622,0.10718101218487115,0.12717567567567567,0.0,0.0,51.03114985223818,20.3588881858787,-0.04134747551702092
2025-01-01 08:00:00,1.0352486505694372,0.2958483055568992,0.16108918918918919,0.05,0.16297695312500002,0.708735900316064,0.11353579712837308,0.16108918918918919,0.0,0.0,50.263637546836236,20.24100537807593,-0.06792065578969299
2025-01-01 09:00:00,1.0119874807033316,0.2958483055568992,0.13565405405405404,0.05,0.13724375000000003,0.708735900316064,0.11600783038726745,0.13565405405405404,0.0,0.0,49.534897825392704,20.358112796853277,-0.04722121367782629
2025-01-01 10:00:00,0.9817454050598833,0.29519084148535185,0.11021891891891891,0.05,0.111510546875,0.7078592815540008,0.11237557663088248,0.11021891891891891,0.0,0.0,48.76693989404945,20.297914853421226,-0.05674729191337615
2025-01-01 11:00:00,0.8004130963109222,0.30087019758364236,0.13971944728025468,0.05,0.09435507812500002,0.5485737876760667,0.10748423050985531,0.09326216216216215,0.04645728511809253,0.0,49.879412217721445,20.23056110929798,-0.06326399999209045
2025-01-01 12:00:00,0.6054440419622982,0.30818000160826614,0.059348648648648646,0.05,0.060044140625000006,0.3914622243665771,0.10393767697072097,0.059348648648648646,0.0,0.0,51.78926124807346,20.371845816500354,-0.037260309968242214
2025-01-01 13:00:00,0.5958379387774482,0.30818000160826614,0.05087027027027027,0.05,0.051466406250000006,0.3914622243665771,0.10290930816087102,0.05087027027027027,0.0,0.0,50.955224932025224,20.264018599688985,-0.05117503897786791
2025-01-01 14:00:00,0.5894598358189553,0.30218512572673717,0.05087027027027027,0.05,0.051466406250000006,0.38346905652453855,0.10452437304441674,0.05087027027027027,0.0,0.0,50.04945982212545,20.254907432608896,-0.06925770795226877
2025-01-01 15:00:00,0.6141346930781323,0.31351741341824757,0.05087027027027027,0.05,0.051466406250000006,0.39857877344655246,0.11408951338157977,0.05087027027027027,0.0,0.0,49.24534386636569,20.230144317322605,-0.08314629511225177
2025-01-01 16:00:00,0.6714603929245787,0.31004708937202813,0.14819782565863307,0.05,0.10293281250000001,0.3939516747182598,0.1245759057063189,0.10174054054054053,0.04645728511809253,0.0,49.95223175718076,20.35631330624091,-0.0487480426236696
2025-01-01 17:00:00,0.7923240477144143,0.35345787764177633,0.1249691830995868,0.05,0.10293281250000001,0.4518327257445908,0.1875585094698234,0.10174054054054053,0.023228642559046265,0.0,51.44975600295158,20.255162128599636,-0.06501678991755698
2025-01-01 18:00:00,0.6357868763924334,0.277470458891472,0.12570468062494974,0.05,0.111510546875,0.3505161674108516,0.12376016210658161,0.11021891891891891,0.015485761706030842,0.0,51.69629602933439,20.308360060030054,-0.05257432881557656
2025-01-01 19:00:00,0.8364140433698926,0.2859366440287664,0.11869729729729729,0.05,0.12008828125000001,0.5120952431020828,0.1542305190178097,0.11869729729729729,0.0,0.0,50.742767017339176,20.33439869922572,-0.04874645391391184
2025-01-01 20:00:00,1.0734482858302339,0.3231415539458227,0.14893332318399602,0.05,0.111510546875,0.7119926184996631,0.19994512045557053,0.11021891891891891,0.03871440426507711,0.0,51.54464595777856,20.287645885795534,-0.05317423757216619
2025-01-01 21:00:00,0.7950180017426531,0.31080985789445575,0.11869729729729729,0.05,0.12008828125000001,0.47011411383558266,0.1548156066570704,0.11869729729729729,0.0,0.0,51.208385099485085,20.28819549478863,-0.059090905908867224
