Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Cooling Electric Power (kW),Lighting Electric Power (kW),Other Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Gas Power (therms/hour),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 00:00:00,0.6198687335174825,0.1875985954010696,0.32489230429066135,0.05,0.016272647133540527,0.23068701609031508,0.32290907029362687,0.00572349349850516,0.3191688107921562,0.0,51.666396904107174,20.670748874447032,0
2018-01-01 00:10:00,0.6243250997873127,0.1875985954010696,0.32930062478277516,0.05,0.016272647133540527,0.23068701609031508,0.32736543656345696,0.005727065862910389,0.3235735589198648,0.0,51.6664053063383,20.6493572498413,0
2018-01-01 00:20:00,0.6244770794934614,0.1875985954010696,0.39810427313747826,0.05,0.016272647133540527,0.23068701609031508,0.3275174162696058,0.07438049489416136,0.3237237782433169,0.0,51.66640514320815,20.6493572498413,0
2018-01-01 00:30:00,0.6249419162470014,0.1875985954010696,0.330048163190251,0.05,0.016272647133540527,0.23068701609031508,0.32798225302314565,0.005864932402894731,0.3241832307873563,0.0,51.663270120383274,20.6493572498413,0
2018-01-01 00:40:00,0.625995641206331,0.1875985954010696,0.3309521003172667,0.05,0.016272647133540527,0.23068701609031508,0.3290359779824754,0.005727349878989866,0.3252247504382768,0.0,51.666398847604924,20.6493572498413,0
2018-01-01 00:50:00,0.6270102829360711,0.1875985954010696,0.33195471316781516,0.05,0.016272647133540527,0.23068701609031508,0.33005061971221544,0.005727073606706555,0.3262276395611086,0.0,51.6664051302387,20.6493572498413,0
2018-01-01 01:00:00,0.6271545685162034,0.18694113132952217,0.3329637918084222,0.05,0.016272647133540527,0.22981039732825184,0.33107152405441104,0.0057270730519387875,0.3272367187564834,0.0,51.666405142854536,20.649357249841298,0
2018-01-01 01:10:00,0.6282281583411667,0.18694113132952217,0.33402497271403864,0.05,0.016272647133540527,0.22981039732825184,0.3321451138793743,0.005727099535969975,0.3282978731780687,0.0,51.666405142879874,20.649213520074646,0
2018-01-01 01:20:00,0.629305084369558,0.18694113132952217,0.4267207265754469,0.05,0.016272647133540527,0.22981039732825184,0.33322203990776555,0.09735840141564779,0.32936232515979913,0.0,51.666405141670495,20.649213520074646,0
2018-01-01 01:30:00,0.6144269021284825,0.18694113132952217,0.3205675766984264,0.05,0.016272647133540527,0.22981039732825184,0.3183438576666901,0.005911099622470241,0.3146564770759562,0.0,51.66222084633493,20.649213520074646,0
2018-01-01 01:40:00,0.6155173870497872,0.18694113132952217,0.3214617999679045,0.05,0.016272647133540527,0.22981039732825184,0.31943434258799475,0.00572746907011823,0.3157343308977863,0.0,51.666396739403055,20.649213520074646,0
2018-01-01 01:50:00,0.6166689017022472,0.18694113132952217,0.32259960787388237,0.05,0.016272647133540527,0.22981039732825184,0.32058585724045474,0.005727100331193543,0.3168725075426888,0.0,51.666405124795915,20.649213520074646,0
2018-01-01 02:00:00,0.6169742216789399,0.18628366725797474,0.3237678554620913,0.05,0.016272647133540527,0.22893377856618863,0.32176779597921074,0.005727099590747992,0.31804075587134334,0.0,51.666405141634186,20.649213520074646,0
2018-01-01 02:10:00,0.6182093355537818,0.18628366725797474,0.32498868948227283,0.05,0.016272647133540527,0.22893377856618863,0.32300290985405256,0.00572712607440622,0.3192615634078666,0.0,51.666405141667994,20.649069790307987,0
2018-01-01 02:20:00,0.6194290493833794,0.18628366725797474,0.326194275405635,0.05,0.016272647133540527,0.22893377856618863,0.3242226236836502,0.005727126127586973,0.32046714927804804,0.0,51.66640514045863,20.64906979030799,0
2018-01-01 02:30:00,0.6065157349758146,0.18628366725797474,0.3134305360685346,0.05,0.016272647133540527,0.22893377856618863,0.31130930927608536,0.0057271261276935475,0.30770340994084106,0.0,51.666405140456206,20.64906979030799,0
2018-01-01 02:40:00,0.6076747702463595,0.18628366725797474,0.31457614622011615,0.05,0.016272647133540527,0.22893377856618863,0.31246834454663036,0.0057271261276938615,0.30884902009242227,0.0,51.66640514045619,20.64906979030799,0
2018-01-01 02:50:00,0.6088847403339457,0.18628366725797474,0.3157721012101627,0.05,0.016272647133540527,0.22893377856618863,0.3136783146342165,0.0057271261276938615,0.3100449750824688,0.0,51.66640514045619,20.64906979030799,0
2018-01-01 03:00:00,0.6091824730204619,0.18562620318642734,0.31693285013231065,0.05,0.016272647133540527,0.2280571598041254,0.31485266608279594,0.0057271261276938615,0.31120572400461677,0.0,51.66640514045619,20.64906979030799,0
2018-01-01 03:10:00,0.6103767299960625,0.18562620318642734,0.31811330050067516,0.05,0.016272647133540527,0.2280571598041254,0.31604692305839654,0.005727152612839224,0.3123861478878359,0.0,51.66640514045619,20.648926060541335,0
2018-01-01 03:20:00,0.6115207928928676,0.18562620318642734,0.31924411175687817,0.05,0.016272647133540527,0.2280571598041254,0.3171909859552016,0.005727152666022593,0.3135169590908556,0.0,51.66640513924677,20.64892606054133,0
2018-01-01 03:30:00,0.6025466634619021,0.18562620318642734,0.3103739297711657,0.05,0.016272647133540527,0.2280571598041254,0.3082168565242361,0.005727152666129271,0.3046467771050364,0.0,51.66640513924434,20.648926060541335,0
2018-01-01 03:40:00,0.6035876150490188,0.18562620318642734,0.31140282400399166,0.05,0.016272647133540527,0.2280571598041254,0.30925780811135284,0.005727152666129376,0.3056756713378623,0.0,51.66640513924433,20.648926060541335,0
