Metric,Value
Total Electric Energy (kWh),463.4373362496719
Total Gas Energy (therms),0.0
Average Electric Power (kW),2.7585555729147138
Peak Electric Power (kW),7.971876920365109
HVAC Cooling Electric Energy (kWh),8.149999999999999
HVAC Heating Electric Energy (kWh),358.0255566171593
Water Heating Electric Energy (kWh),15.102652187026052
Other Electric Energy (kWh),70.15103829173731
Lighting Electric Energy (kWh),12.008089153749307
Average Temperature - Indoor (C),20.806930356000606
Unmet Heating Load (C-hours),0.0
Unmet Cooling Load (C-hours),0.0
Total Hot Water Unmet Demand (kWh),0.0
