Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),HVAC Cooling Electric Power (kW),HVAC Heating Electric Power (kW),Water Heating Electric Power (kW),Other Electric Power (kW),Lighting Electric Power (kW),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2018-01-01 00:00:00,7.665339538533391,4.89952495672134,0.0,0.05,7.248027380227459,0.12035249508207652,0.23068701609031508,0.016272647133540527,0.0,51.359358231671806,20.76900534787245,0
2018-01-01 01:00:00,7.971876920365109,5.089758091532687,0.0,0.05,7.536015666197021,0.13977820970629623,0.22981039732825184,0.016272647133540527,0.0,51.43520650961373,20.669734478468992,0
2018-01-01 02:00:00,6.479895926984323,4.158102301074334,0.0,0.05,6.126264512920558,0.058424988364035285,0.22893377856618863,0.016272647133540527,0.0,51.52052217137956,20.6533824339973,0
2018-01-01 03:00:00,6.183170864642197,3.9762946049151657,0.0,0.05,5.855583455693428,0.03325760201110303,0.2280571598041254,0.016272647133540527,0.0,51.46748502069608,20.71814160164868,0
2018-01-01 04:00:00,6.011991398670749,3.868475894132494,0.0,0.05,5.692473714962563,0.026064495532583783,0.22718054104206215,0.016272647133540527,0.0,51.30876158805532,20.739340973927813,0
2018-01-01 05:00:00,5.744233695787773,3.679019216271454,0.0,0.05,5.373985825889196,0.0667327270567325,0.23527888214518017,0.01823626069666395,0.0,51.12371828731387,20.74482598982994,0
2018-01-01 06:00:00,5.594800054689208,3.3982893224482256,0.0,0.05,4.902646543194554,0.03686634267494215,0.5549894000778445,0.05029776874186741,0.0,51.09346151786884,20.721086685396447,0
2018-01-01 07:00:00,5.19854873189171,3.118990030438104,0.0,0.05,4.3706470170845995,0.02647391180216181,0.6442467908200773,0.10718101218487115,0.0,50.95590826918018,20.92242885065634,0
2018-01-01 08:00:00,4.511935794482352,2.6733535653718628,0.0,0.05,3.671474337976891,0.02380908195290942,0.6531165774241792,0.11353579712837308,0.0,50.82765510318165,21.02377136975791,0
2018-01-01 09:00:00,3.8656608362945457,2.2546695356977273,0.0,0.05,3.0236509941801737,0.022885434302925396,0.6531165774241792,0.11600783038726745,0.0,50.69481841374039,21.035719968947625,0
2018-01-01 10:00:00,3.1164863121679396,1.766611834578736,0.0,0.05,2.2628114471791383,0.03905932969580316,0.6522399586621159,0.11237557663088248,0.0,50.55950685733145,21.03822572495637,0
2018-01-01 11:00:00,2.5121617002818044,1.371130244037144,0.0,0.05,1.6328517892011167,0.06201324711099609,0.6598124334598365,0.10748423050985531,0.0,50.48212937257184,21.023573727017265,0
2018-01-01 12:00:00,1.8632316082272034,1.1457289386082388,0.0,0.05,1.2832103602699494,0.03462134661995578,0.3914622243665771,0.10393767697072097,0.0,50.50868512699506,21.007774451006803,0
2018-01-01 13:00:00,1.7179774399744558,1.055974739964987,0.0,0.05,1.1476017030361871,0.02600420441082055,0.3914622243665771,0.10290930816087102,0.0,50.464165648706725,20.89825027422372,0
2018-01-01 14:00:00,1.7043509421355554,1.0396660890440286,0.0,0.05,1.1261069244571946,0.04025058810940553,0.38346905652453855,0.10452437304441674,0.0,50.35872005557325,20.90451551229264,0
2018-01-01 15:00:00,1.6327716666530654,0.9934844544835792,0.0,0.05,1.0416411987442813,0.028462181080651756,0.39857877344655246,0.11408951338157977,0.0,50.319942090604016,20.89050211199238,0
2018-01-01 16:00:00,1.7676509235655165,1.0561299255420833,0.0,0.05,1.1270934391149043,0.07202990402603335,0.39395167471825976,0.12457590570631892,0.0,50.23607849698133,20.914516220143696,0
2018-01-01 17:00:00,2.3631782309608322,1.3801746008107287,0.0,0.05,1.5360659245509805,0.13772107119543764,0.4518327257445908,0.1875585094698234,0.0,50.38693008353364,20.887400466085765,0
2018-01-01 18:00:00,2.5853891959888955,1.5589490909342878,0.0,0.05,1.934962669814095,0.12615019665736746,0.3505161674108516,0.12376016210658161,0.0,50.79672036060004,20.91192433223033,0
2018-01-01 19:00:00,3.1677593636339214,1.8242178665113846,0.0,0.05,2.3530033462364233,0.07338178380402174,0.5371437145756669,0.15423051901780968,0.0,51.06665293042852,20.80928598219492,0
2018-01-01 20:00:00,3.3184293128096978,1.8947474053733084,0.0,0.05,2.4022122850235483,0.07952164619883713,0.586750261131742,0.19994512045557053,0.0,51.14714536699994,20.963560085792736,0
2018-01-01 21:00:00,3.340995531815219,1.9278358192070266,0.0,0.05,2.463766465223214,0.10210546020501562,0.5703079997299194,0.1548156066570704,0.0,51.20042760735592,21.02075012593457,0
2018-01-01 22:00:00,3.135608683326763,1.9397790241757966,0.0,0.05,2.5518286291879346,0.04638227818380391,0.35367031572482865,0.13372746023019602,0.0,51.31418682681812,20.962017806819546,0
2018-01-01 23:00:00,3.183588134754507,1.9878624450496152,0.0,0.05,2.642078009852986,0.10792657943054858,0.3194884811148025,0.06409506435616996,0.0,51.222223216677776,20.88313201722516,0
2018-01-02 00:00:00,3.12988372282167,1.979199747641874,0.0,0.05,2.7248102514432313,0.09597661929246717,0.2406784758928633,0.01841837619310841,0.0,51.353989441743096,20.76862683302057,0
2018-01-02 01:00:00,3.149568557888912,2.012887529152268,0.0,0.05,2.8099170532781668,0.04356846014895308,0.22981039732825184,0.016272647133540527,0.0,51.37774706837774,20.695581377174246,0
2018-01-02 02:00:00,3.1876509454260638,2.0431406746474483,0.0,0.05,2.8634103244387243,0.029034195287610334,0.22893377856618863,0.016272647133540527,0.0,51.26733972908585,20.731205784374634,0
